,Sr No,Date,Startup Name,Industry Vertical,Sub-Vertical,City,Investors Name,Investment Type,Amount (USD),Remarks
2026,2027,08-01-2016,Melorra,ECommerce,Online/ Mobile Jewellery Retailer,Bengaluru,Lightbox Ventures,Private Equity,5000000,No Remarks
2027,2028,08-01-2016,ConfirmTKT,Consumer Internet,Train PNR Status Prediction Platform,Bengaluru,"Krishna Jhujhunwala, Dr. Apoorv Ranjan Sharma, Anirudh Damani, Anand Ladsariya, Sanjay Mehta & Others",Seed Funding,250000,No Remarks
2028,2029,08-01-2016,Gyaanzone,Education,Career Planning and Education Advisory Platform,Mumbai,GBIM Technologies Pvt Ltd,Seed Funding,45000,No Remarks
2029,2030,08-01-2016,FlatFurnish,Consumer Internet,Online Furnishing Rental Platform,Gurugram,Arun Chandra Mohan,Seed Funding,1750000,No Remarks
2030,2031,09-01-2016,Lumiere,ECommerce,Organic Food eTailer,Bengaluru,Undisclosed investors,Private Equity,1750000,No Remarks
2031,2032,11-01-2016,Koovs,ECommerce,Online Fashion Apparel Retailer,Gurugram,"Nahata Family, Waheed Alli",Private Equity,5400000,No Remarks
2032,2033,11-01-2016,Wishup,Consumer Internet,Mobile app based Concierge Service,New Delhi,"500 Startups, Mato Peric, TracxnLabs",Seed Funding,1750000,No Remarks
2033,2034,11-01-2016,FreshMenu,Consumer Internet,Online / Mobile Food Ordering platform,Bengaluru,"Zodius Capital, Lightspeed Venture Partners",Private Equity,16500000,No Remarks
2034,2035,11-01-2016,SavvyMob,ECommerce,Last Minute Hotel Bookings mobile marketplace,Bengaluru,"TV Mohandas Pai, LetsVenture",Seed Funding,1000000,No Remarks
2035,2036,11-01-2016,Fashionablyin,Consumer Internet,Mobile based Geo-target Fashion Marketplace,Mumbai,Ranjan Mahtani,Seed Funding,1750000,No Remarks
2036,2037,12-01-2016,Shopclues,ECommerce,ECommerce Marketplace,Gurugram,"GIC, Tiger Global Management, Nexus Venture Partners",Private Equity,100000000,No Remarks
2037,2038,12-01-2016,Hike Messenger,Consumer Internet,P2P Messaging Service,New Delhi,"Matt Mullenweg, Adam D’Angelo, Aditya Agarwal, Ruchi Sanghvi & Others",Private Equity,1750000,No Remarks
2038,2039,12-01-2016,iBus Networks,Technology,Next Generation in-building connectivity,Bengaluru,"Vallabh Bhanshali, N Squared Management LLC, Jagdish & Sandeep Mehta Family Office",Private Equity,2300000,No Remarks
2039,2040,12-01-2016,Happy2Refer,Consumer Internet,Mobile based Referral Platform,Mumbai,"Equity Crest, Vinners, Sparknext",Seed Funding,250000,No Remarks
2040,2041,13-01-2016,CarTrade,Consumer Internet,Auto Classifieds Portal,Mumbai,"Temasek Holdings, March Capital, Warburg Pincus",Private Equity,145000000,No Remarks
2041,2042,13-01-2016,Rentomo,Consumer Internet,peer-to-peer renting Marketplace,Bengaluru,Shiva Ashok & Other unnamed investors,Seed Funding,100000,No Remarks
2042,2043,13-01-2016,Roder,Consumer Internet,inter-city cab aggregator,New Delhi,Unicorn India Ventures,Seed Funding,240000,No Remarks
2043,2044,13-01-2016,Bucker,Consumer Internet,Food Ordering Mobile App,Hyderabad,"50k Ventures, Munish Jauhar, Pulkit Jain, Rohit Narang",Seed Funding,1750000,No Remarks
2044,2045,13-01-2016,Care24,Healthcare,Professional Health Services Platform,Mumbai,"SAIF Partners, India Quotient",Private Equity,4000000,No Remarks
2045,2046,13-01-2016,Obino,Healthcare,Weigh Loss Coaching,Mumbai,RoundGlass Partners,Private Equity,1750000,No Remarks
2046,2047,14-01-2016,Snapshopr,Consumer Internet,Visual Search & Image Recognition Platform,Bengaluru,Amod Malviya,Seed Funding,1750000,No Remarks
2047,2048,14-01-2016,Buildkar,ECommerce,Construction Material Marketplace,Bengaluru,"Mustafa Wajid, Umang Kumar & Others",Seed Funding,1750000,No Remarks
2048,2049,14-01-2016,Orahi,Consumer Internet,Carpooling Mobile App,Gurugram,Indian Angel Network,Seed Funding,520000,No Remarks
2049,2050,14-01-2016,Zapr,Technology,TV to Mobile audience Platform,Gurugram,"Flipkart, Saavn, Micromax, Dhiraj Rajaram, Ambiga Dhiraj, Dinesh Agarwal, Samir Bangara, Sanjay Nath, Arihant Patni",Seed Funding,1750000,No Remarks
2050,2051,15-01-2016,Remidio,Healthcare,Healthcare Product Manufacturer,Bengaluru,Cipher-Plexus Capital Advisors & Indian HNIs,Private Equity,1750000,No Remarks
2051,2052,15-01-2016,Fitso,Consumer Internet,Fitness related Social Networking App & Forum,Gurugram,"Varun Khurana, Samar Singla, Vinay Bansal,",Seed Funding,200000,No Remarks
2052,2053,15-01-2016,evibe,Consumer Internet,Party Hall Booking platform,Bengaluru,"Hyderabad Angels, Lalit Mangal, Vikas Malpani, Gaurav Bhalotia, LV Prasad",Seed Funding,1750000,No Remarks
2053,2054,15-01-2016,Zoctr,Consumer Internet,healthcare aggregator platform,Mumbai,Times Group,Seed Funding,1750000,No Remarks
2054,2055,15-01-2016,Jobick,Consumer Internet,Mobile app based Job Search,Noida,Abhinav Mathur,Seed Funding,1750000,No Remarks
2055,2056,16-01-2016,Plick,Consumer Internet,Instant Content Transfer Mobile App,Mumbai,Sanjay Mehta,Seed Funding,1750000,No Remarks
2056,2057,18-01-2016,Voice Friends,Consumer Internet,Dating & Singles Chat Platform,Mumbai,Huzaifa Khorakiwala,Seed Funding,1750000,No Remarks
2057,2058,18-01-2016,Kartrocket,Consumer Internet,SAAS DIY ECommerce Platform,New Delhi,"Bertelsmann India Investments, Nirvana Digital India Fund, Nirvana Digital Investment Holding, 500 Startups",Private Equity,6000000,No Remarks
2058,2059,19-01-2016,Swiggy,Consumer Internet,Online/Mobile food ordering platform,Bengaluru,"Harmony Partners, RB Investments & existing investors",Private Equity,35000000,No Remarks
2059,2060,19-01-2016,TinyStep,Consumer Internet,Parenting Social Network,Bengaluru,Flipkart,Seed Funding,1750000,No Remarks
2060,2061,19-01-2016,Cashkaro,Consumer Internet,Coupon & Cashback platform,Gurugram,Ratan Tata,Private Equity,1750000,No Remarks
2061,2062,19-01-2016,Gameezop,Consumer Internet,Casual Gaming platform,New Delhi,Anand Chandrasekaran & Others,Seed Funding,1750000,No Remarks
2062,2063,19-01-2016,DailyObjects,ECommerce,Mobile Accessories etailer,New Delhi,"Unilazer Fund, Phanindra Sama, Peyush Bansal",Private Equity,1400000,No Remarks
2063,2064,19-01-2016,Indus OS,Technology,Local language Mobile OS,Mumbai,"Omidyar Network,",Private Equity,5000000,No Remarks
2064,2065,19-01-2016,CollegeDunia,Consumer Internet,Educational College Search platform,New Delhi,Umang Kumar,Seed Funding,445000,No Remarks
2065,2066,19-01-2016,Villgro,Finance,Social Business Incubator & Fund,Chennai,"Lemelson Foundation, Michael and Susan Dell Foundation",Private Equity,3500000,No Remarks
2066,2067,20-01-2016,Reddoorz,Consumer Internet,Budget Accomodation Aggregator,New Delhi,500 Startups,Private Equity,1750000,No Remarks
2067,2068,20-01-2016,IndustryBuying,ECommerce,B2B Industrial Goods Marketplace,New Delhi,Trifecta Capital,Private Equity,1800000,No Remarks
2068,2069,20-01-2016,Just Buy Live,ECommerce,B2B Marketplace for Distributors,Mumbai,Alpha Capital,Private Equity,20000000,No Remarks
2069,2070,20-01-2016,IMbesharam,ECommerce,Adult Products Etailers,New Delhi,Undisclosed US Based Investors,Private Equity,4000000,No Remarks
2070,2071,20-01-2016,Moodoo,Consumer Internet,Social Meeting organizer App,Mumbai,Saïd Business School Seed Fund.,Seed Funding,40000,No Remarks
2071,2072,20-01-2016,Saral Designs,Healthcare,Women Hygiene Product Manufacturer,Mumbai,"Farooq Adam, Ambi Parameswaran,",Seed Funding,1750000,No Remarks
2072,2073,21-01-2016,FirstCry,ECommerce,Kids Focused eTailer,Pune,Ratan Tata,Private Equity,1750000,No Remarks
2073,2074,21-01-2016,Fisdom,Consumer Internet,Personal Finance Mobile App,Bengaluru,Rob Chandra,Seed Funding,500000,No Remarks
2074,2075,21-01-2016,Easypolicy,Consumer Internet,Online insurance policy aggregator,Noida,Unilazer Ventures,Private Equity,2200000,No Remarks
2075,2076,21-01-2016,Housing,Consumer Internet,Online Real Estate Portal,Mumbai,SoftBank Corp,Private Equity,15000000,No Remarks
2076,2077,21-01-2016,CREO,Technology,Smartphone OS Developer,Bengaluru,"Sequoia Capital, Beenext Ventures, India Quotient, Anand Chandrasekaran",Private Equity,3000000,No Remarks
2077,2078,22-01-2016,ShabdaNagari,Consumer Internet,Hindi Language Social Networking Portal,Kanpur,Kanpur Angels & Others,Seed Funding,200000,No Remarks
2078,2079,22-01-2016,Little,Consumer Internet,Deal Discovery App,Bengaluru,GIC,Private Equity,1750000,No Remarks
2079,2080,22-01-2016,SnapBizz,ECommerce,Mobile based Retail Market Ecosystem,Bengaluru,"Jungle Ventures, Taurus Value Creation, Konly Venture, Blume Ventures",Private Equity,7200000,No Remarks
2080,2081,22-01-2016,Qlivery,Consumer Internet,on-demand concierge services,Gurugram,Chandigarh Angels Funding,Seed Funding,1750000,No Remarks
2081,2082,22-01-2016,PlexusMD,Consumer Internet,Social Network for Healthcare Professionals,Ahmedabad,"Arihant Patni, Avnish Mehra, Pranay Adhvaryu, Ravi Sampat",Seed Funding,1750000,No Remarks
2082,2083,22-01-2016,Silvan,Technology,Home Automation & Security Solutions,Bengaluru,The Chennai Angels,Seed Funding,515000,No Remarks
2083,2084,22-01-2016,EPS,Technology,Electronic Payments Solution Company,Mumbai,APIS Partners,Private Equity,35000000,No Remarks
2084,2085,22-01-2016,Qubole,Technology,Enterprise Cloud Based Data Processing,Bengaluru,"Institutional Venture Partners, Norwest Venture Partners, Lightspeed Venture Partners, CRV",Private Equity,30000000,No Remarks
2085,2086,22-01-2016,Gajty,Healthcare,Salons & Spa Chain,Gurugram,Purvi Ventures,Seed Funding,1750000,No Remarks
2086,2087,25-01-2016,SIFTR Labs,Consumer Internet,Photography curation & Aggregator platform,Mumbai,Venture Catalysts,Seed Funding,150000,No Remarks
2087,2088,25-01-2016,Power2SME,Consumer Internet,SME Online Buying Hub,Gurugram,"Nandan Nilekani, Accel Partners, Kalaari Capital and Inventus Capital",Private Equity,21000000,No Remarks
2088,2089,25-01-2016,SkyCandle,ECommerce,Home Décor Product etailer,New Delhi,GPA group,Private Equity,1750000,No Remarks
2089,2090,27-01-2016,Teabox,ECommerce,Specialty Tea ETailer,Siliguri,Ratan Tata,Private Equity,1750000,No Remarks
2090,2091,27-01-2016,Buildzar,ECommerce,Construction Material ETailer,Gurugram,Puneet Dalmia,Private Equity,4000000,No Remarks
2091,2092,27-01-2016,Applicate,Technology,"Sales, Market, Distribution & Data Analytics Platform",Bengaluru,Undisclosed investors,Seed Funding,1000000,No Remarks
2092,2093,27-01-2016,WhatsOnRent,ECommerce,Online Rental Marketplace,Bengaluru,Lalit Mangal & Others,Seed Funding,1750000,No Remarks
2093,2094,28-01-2016,Zebi,Technology,Data Intelligence & Analytics,Hyderabad,Un disclosed investors,Seed Funding,1000000,No Remarks
2094,2095,28-01-2016,Truce,FMCG,Vegetables & Fruits Supply Chain,Mumbai,"Anupam Mittal, Amit Gupta, Utsav Somani, Neeraj Goenka, Farooq Adam Mukadam",Seed Funding,370000,No Remarks
2095,2096,28-01-2016,JustDoc,Consumer Interne,Medical Video Consultation platform,Bengaluru,"TV Mohandas Pai, Mohit Saxena, Raghunandan G, Singapore Angel Network, TracxnLabs",Seed Funding,1750000,No Remarks
2096,2097,28-01-2016,Myeglu,Technology,Connected Smart Home Solutions,Bengaluru,Foxconn Technology Group & Others,Seed Funding,1750000,No Remarks
2097,2098,29-01-2016,BitGiving,Consumer Internet,Crowd Funding Platform,New Delhi,"Harminder Sahni, Krishna Mehra, Sanjay Bakshi",Seed Funding,1750000,No Remarks
2098,2099,29-01-2016,Qriyo,Consumer Internet,Online Fitness & Educational information Aggregator,Jodhpur,Idein Ventures,Seed Funding,160000,No Remarks
2099,2100,29-01-2016,NOW,Consumer Internet,Rental Bike Aggregator App,Noida,Maple Capital Advisors,Seed Funding,1750000,No Remarks
2100,2101,29-01-2016,Aisle,Consumer Internet,Indians focused Matchmaking App,Bengaluru,"TermSheet, ah! Ventures",Seed Funding,185000,No Remarks
2101,2102,29-01-2016,FreshMenu,Consumer Internet,Fresh Food Delivery platform,Bengaluru,"Zodius Technology Fund, Lightspeed Venture Partners",Private Equity,17000000,No Remarks
2102,2103,29-01-2016,Truebil,ECommerce,Online marketplace for cars,Mumbai,"Kalaari Capital, Inventus Capital, Tekton Ventures, Kae Capital",Private Equity,5150000,No Remarks
2103,2104,29-01-2016,Rare Media,Technology,Mobile & Cloud based App developer,New Delhi,Info Edge (India) Ltd,Private Equity,1100000,No Remarks
2104,2105,29-01-2016,TinMen,Consumer Internet,Food Delivery Platform,Hyderabad,Lead Angel Network,Seed Funding,1750000,No Remarks
2105,2106,29-01-2016,CodingLabs,Technology,Coding Skill Showcase & Resume Builder,Hyderabad,Vineet Nalla,Seed Funding,1750000,No Remarks
2106,2107,30-01-2016,FindUrClass,Consumer Internet,Hobby & Activity Class Aggregator,Mumbai,"Amit Patni, Anirudh Damani, Samir Shah",Seed Funding,1750000,No Remarks
2107,2108,30-01-2016,DesignBids,Consumer Internet,Interior Design Marketplace,New Delhi,Indian Angel Network,Seed Funding,1750000,No Remarks
2108,2109,01-12-2015,CollegeDekho,Online Education Information platform,Online Lending Platform,Jaipur,GirnarSoft,Seed Funding,1000000,No Remarks
2109,2110,01-12-2015,Black White Orange Brands,Brand Licensing Startup,Online Lending Platform,Mumbai,YouWeCan Ventures,Seed Funding,1750000,No Remarks
2110,2111,01-12-2015,Biteclub,Gourmet Food Discovery & Delivery platform,Online Lending Platform,Gurugram,growX ventures,Private Equity,1750000,Pre-Series A
2111,2112,01-12-2015,Patel Logistics,Transportation & Logistics Platform,Online Lending Platform,Mumbai,Frontline Strategy,Private Equity,5600000,No Remarks
2112,2113,01-12-2015,Wigzo,Enterprise Marketing Automation platform,Online Lending Platform,New Delhi,"Aarin Capital Partners, TV Mohandas Pai",Seed Funding,500000,Pre-Series A
2113,2114,01-12-2015,Zapluk,"Health, Wellness & Beauty Services App",Online Lending Platform,Hyderabad,Unknown,Seed Funding,1750000,No Remarks
2114,2115,01-12-2015,Godof Hospitals,Digital Healthcare,Online Lending Platform,New Delhi,Pankaj Gupta,Seed Funding,2000000,No Remarks
2115,2116,02-12-2015,RoomsTonite,Last Minute Hotel Booking App,Online Lending Platform,Bengaluru,"Lashit Sanghvi, Nikhil Vora, Venkat Vardhan,Mohammed Bin Abdul Rehman Al Khalifa, Ralph Berezan, Vissal Mathew, Balamurali Krishna",Seed Funding,1500000,No Remarks
2116,2117,02-12-2015,Kaaryah,Womens Fashion Wear Portal,Online Lending Platform,New Delhi,"The Saha Fund, TV Mohandas Pai",Private Equity,1750000,Pre-Series A
2117,2118,03-12-2015,Anakage,Product Learning platform,Online Lending Platform,Bengaluru,CIO Angel Network (CAN),Seed Funding,1750000,No Remarks
2118,2119,03-12-2015,EasyKhaana,Online Food ordering & Delivery platform,Online Lending Platform,New Delhi,Undisclosed investors,Seed Funding,100000,No Remarks
2119,2120,03-12-2015,Shuttl,App based Bus Pooling Services,Online Lending Platform,Gurugram,"Sequoia Capital, Times Internet Ltd & One more Fund",Private Equity,20000000,Series B
2120,2121,03-12-2015,Eckovation,Social Learning Platform,Online Lending Platform,New Delhi,Chandigarh Angel Network (CAN),Seed Funding,1750000,No Remarks
2121,2122,03-12-2015,Fitcircle,Social Fitness platform,Online Lending Platform,Mumbai,Beerud Sheth and Ravi Mantha,Seed Funding,1750000,Pre-Series A
2122,2123,04-12-2015,Applop,On Demand Mobile app developer,Online Lending Platform,Kolkata,GHV Accelerator,Seed Funding,100000,No Remarks
2123,2124,04-12-2015,CaRPM,Car Maintenance & Management mobile app,Online Lending Platform,Gurugram,GHV Accelerator,Seed Funding,100000,No Remarks
2124,2125,04-12-2015,NDTV Wedding portal,Online Wedding Marketplace,Online Lending Platform,New Delhi,CerraCap,Private Equity,20000000,Series A
2125,2126,04-12-2015,Splitkart,Splitting Bills Mobile App,Online Lending Platform,New Delhi,"Rajesh Sawhney, Anupam Mittal, Dinesh Agarwal, Gaurav Gupta,",Seed Funding,1750000,No Remarks
2126,2127,07-12-2015,Zenatix,IOT Energy Management Analytics platform,Online Lending Platform,Gurugram,Blume Ventures,Private Equity,1750000,Pre-Series A
2127,2128,07-12-2015,Customfurnish,Custom Made furniture e-tailer,Online Lending Platform,Hyderabad,Agnus Capital,Private Equity,4500000,Series A
2128,2129,07-12-2015,Faasos,QSR Chain,Online Lending Platform,Pune,"ru-Net, Sequoia Capital, Lightbox Ventures",Private Equity,30000000,Series C
2129,2130,07-12-2015,Vlurn,eLearning platform,Online Lending Platform,Mumbai,Vidyadhar Sarfare,Seed Funding,1750000,No Remarks
2130,2131,07-12-2015,Leaf Wearables,Smart Safety Wearable Devices,Online Lending Platform,New Delhi,"Ajeet Khurana Jinesh Shah, Vikram Chachra, Dr. Aniruddha Malpani",Seed Funding,250000,No Remarks
2131,2132,07-12-2015,Coolshare,Cab Sharing service Mobile app,Online Lending Platform,Mumbai,Gopal Aggarwal,Seed Funding,100000,No Remarks
2132,2133,08-12-2015,mFicient,Cloud Enterprise Mobility Platform,Online Lending Platform,New Delhi,Undisclosed investors,Seed Funding,1750000,No Remarks
2133,2134,08-12-2015,HeyBiz,Online Shopping Assistant Mobile app,Online Lending Platform,New Delhi,Shopclues,Seed Funding,1750000,Strategic Funding
2134,2135,08-12-2015,Yumist,Home Cooked Food Order & Delivery platform,Online Lending Platform,Gurugram,"Unilazer Ventures, Orios Venture Partners, Steven Lurie",Private Equity,2000000,Series A
2135,2136,09-12-2015,Jigsaw Academy,Online School for Analytics learning,Online Lending Platform,Bengaluru,Manipal Global Education Services,Private Equity,3000000,Series A
2136,2137,09-12-2015,JoeHukum,Chat based personal Assistant App,Online Lending Platform,Gurugram,"TracxnLabs, Jitendra Gupta, Prashant Tandon",Seed Funding,1750000,No Remarks
2137,2138,09-12-2015,Voxweb,Picture creation & Social mobile app,Online Lending Platform,Mumbai,Undisclosed Investor,Seed Funding,350000,No Remarks
2138,2139,09-12-2015,Aye Finance,Nonbanking finance company,Online Lending Platform,New Delhi,"SAIF Partners, Accion",Private Equity,3000000,Series B
2139,2140,09-12-2015,JumboBasket,eCommerce returns etailer,Online Lending Platform,Chandigarh,Chandigarh Angels Network,Seed Funding,1750000,No Remarks
2140,2141,10-12-2015,BlackBuck,Online Freight Services Aggregator,Online Lending Platform,Bengaluru,"Tiger Global Management, Yuri Milner, Apoletto, Accel Partners, Flipkart",Private Equity,25000000,Series B
2141,2142,10-12-2015,HomeStudio,Online Branded Furniture etailer,Online Lending Platform,Bengaluru,Bren Corporation,Private Equity,5000000,Series A
